platform	edition	version	file	CompanyName	ProductName	FileDescription	InternalName	OriginalFilename	FileVersion	ProductVersion	LegalCopyright	Comments	SpecialBuild	PrivateBuild
windows	classic	1.00	D2Client.dll	Blizzard Entertainment	Diablo II	Diablo II	D2	D2.exe	0.01	0.01	Copyright © 1997-1998	Developed by Blizzard North		
windows	classic	1.00	D2Server.dll	Blizzard Entertainment	Diablo II	Diablo II Server	D2SERVE	D2.exe	0.01	0.01	Copyright © 1997-1998	Developed by Blizzard North		
windows	classic	1.00	DIIUnin.exe	Blizzard Entertainment	Diablo II Uninstaller	Diablo II Uninstaller	Diablo II Unin	Diablo II Unin.exe	1, 0, 0, 5	Version 1.05	Copyright © 1998	NCompanyName	D	LProductName
windows	classic	1.00	Diablo II.exe	Blizzard North	Blizzard North Diablo II	Diablo II	Diablo II	Diablo II.exe	1, 0, 0, 1	1, 0, 0, 1	Copyright © 2000	>CompanyName	D	RProductName
windows	classic	1.00	Game.exe	Blizzard North	Blizzard North Diablo II	Diablo II	Diablo II	Diablo II.exe	1, 0, 0, 1	1, 0, 0, 1	Copyright © 2000	>CompanyName	D	RProductName
windows	classic	1.00	RICHED20.dll	Microsoft Corporation	Microsoft RichEdit Control, version 2.0	Rich Text Edit Control, v2.0	riched20	riched20.dll	5.0.152.0	5.0	Copyright © Microsoft Corp. 1997.	Richedit Version 2.0		
windows	classic	1.00	Storm.dll	Blizzard Entertainment		Storm Library		Storm.dll	1.08b		Copyright © 1999, Blizzard Entertainment			
windows	classic	1.00	binkw32.dll	RAD Game Tools, Inc.	Bink	Bink Video			1.0i	1.0i	Copyright (C) 1994-2000, RAD Game Tools, Inc.	Thank you for using Bink!		
windows	classic	1.00	ijl11.dll	Intel Corporation	Intel® JPEG Library	Intel® JPEG Library - Retail Version	Intel® JPEG Library	ijl11.dll	1.1.2	1.1.2	Copyright © 1999	Intel® JPEG Library	D	16
windows	classic	1.00	smackw32.dll	RAD Game Tools, Inc.	Smacker	Smacker Video Technology			3.1n	3.1n	Copyright (C) 1994-97 RAD Game Tools, Inc.	Thank you for using Smacker!		
windows	classic	1.00_Beta	D2Client.dll	Blizzard Entertainment	Diablo II	Diablo II	D2	D2.exe	0.01	0.01	Copyright © 1997-1998	Developed by Blizzard North		
windows	classic	1.00_Beta	DIIBUnin.exe	Blizzard Entertainment	Diablo II Uninstaller	Diablo II Uninstaller	Diablo II Unin	Diablo II Unin.exe	1, 0, 0, 5	Version 1.05	Copyright © 1998	NCompanyName	D	LProductName
windows	classic	1.00_Beta	DIIUnin.exe	Blizzard Entertainment	Diablo II Uninstaller	Diablo II Uninstaller	Diablo II Unin	Diablo II Unin.exe	1, 0, 0, 5	Version 1.05	Copyright © 1998	NCompanyName	D	LProductName
windows	classic	1.00_Beta	Diablo II.exe	BLizzard North	BLizzard North Diablo 2	Diablo 2	Diablo 2	Diablo 2.exe	1, 0, 0, 1	1, 0, 0, 1	Copyright © 1999	>CompanyName	D	PProductName
windows	classic	1.00_Beta	SmackW32.dll	RAD Game Tools, Inc.	Smacker	Smacker Video Technology			3.1n	3.1n	Copyright (C) 1994-97 RAD Game Tools, Inc.	Thank you for using Smacker!		
windows	classic	1.00_Beta	Storm.dll	Blizzard Entertainment		Storm Library		Storm.dll	1.08b		Copyright © 1999, Blizzard Entertainment			
windows	classic	1.00_Beta	binkw32.dll	RAD Game Tools, Inc.	Bink	Bink Video			1.0f	1.0f	Copyright (C) 1994-2000, RAD Game Tools, Inc.	Thank you for using Bink!		
windows	classic	1.00_Beta	ijl11.dll	Intel Corporation	Intel® JPEG Library	Intel® JPEG Library - Retail Version	Intel® JPEG Library	ijl11.dll	1.1.2	1.1.2	Copyright © 1999	Intel® JPEG Library	D	16
windows	classic	1.00_Beta	SETUP.EXE	Blizzard Entertainment	Diablo II Installer	Diablo II Installer	Install	Install.exe	1, 0, 0, 5	Version 1.00	Copyright © 1999	NCompanyName	D	HProductName
windows	classic	1.00_Beta	riched20.dll	Microsoft Corporation	Microsoft RichEdit Control, version 2.0	Rich Text Edit Control, v2.0	riched20	riched20.dll	5.0.152.0	5.0	Copyright © Microsoft Corp. 1997.	Richedit Version 2.0		
windows	classic	1.01	BNUpdate.exe	Blizzard Entertainment	Blizzard Update Program	bnupdate	bnupdate	bnupdate.exe	2, 22, 0, 0	2, 22, 0, 0	Copyright © 2000	NCompanyName	D	PProductName
windows	classic	1.01	D2Client.dll	Blizzard Entertainment	Diablo II	Diablo II	D2	D2.exe	0.01	0.01	Copyright © 1997-1998	Developed by Blizzard North		
windows	classic	1.01	Game.exe	Blizzard North	Blizzard North Diablo II	Diablo II	Diablo II	Diablo II.exe	1, 0, 0, 1	1, 0, 0, 1	Copyright © 2000	>CompanyName	D	RProductName
windows	classic	1.01	Storm.dll	Blizzard Entertainment		Storm Library		Storm.dll	1.08b		Copyright © 1999, Blizzard Entertainment			
windows	classic	1.02	BNUpdate.exe	Blizzard Entertainment	Blizzard Update Program	bnupdate	bnupdate	bnupdate.exe	2, 22, 0, 0	2, 22, 0, 0	Copyright © 2000	NCompanyName	D	PProductName
windows	classic	1.02	D2Client.dll	Blizzard Entertainment	Diablo II	Diablo II	D2	D2.exe	0.01	0.01	Copyright © 1997-1998	Developed by Blizzard North		
windows	classic	1.02	Game.exe	Blizzard North	Blizzard North Diablo II	Diablo II	Diablo II	Diablo II.exe	1, 0, 2, 0	1, 0, 2, 0	Copyright © 2000	>CompanyName	D	RProductName
