edition	version	module	symsrv_key	pdb_path
classic	1.05b	D2Win.dll	3A79CAB01	C:\D2\Release\D2Win.pdb
classic	1.05b	D2gfx.dll	3A79CA9E1	C:\D2\Release\D2gfx.pdb
classic	1.05b	Fog.dll	3A79C9D41	C:\D2\Release\Fog.pdb
classic	1.05b	Storm.dll	3A39BE2D1	C:\D2\Release\Storm.pdb
classic	1.06	Bnclient.dll	3ADE47681	C:\D2\Release\Bnclient.pdb
classic	1.06	D2CMP.dll	3ADE459E1	C:\D2\Release\D2CMP.pdb
classic	1.06	D2Client.dll	3ADE473F1	C:\D2\Release\D2Client.pdb
classic	1.06	D2Common.dll	3ADE45E71	C:\D2\Release\D2Common.pdb
classic	1.06	D2DDraw.dll	3ADE474F1	C:\D2\Release\D2DDraw.pdb
classic	1.06	D2Direct3D.dll	3ADE47561	C:\D2\Release\D2Direct3D.pdb
classic	1.06	D2Game.dll	3ADE465A1	C:\D2\Release\D2Game.pdb
classic	1.06	D2Gdi.dll	3ADE475A1	C:\D2\Release\D2Gdi.pdb
classic	1.06	D2Glide.dll	3ADE47611	C:\D2\Release\D2Glide.pdb
classic	1.06	D2Lang.dll	3ADE45A31	C:\D2\Release\D2Lang.pdb
classic	1.06	D2Launch.dll	3ADE47731	C:\D2\Release\D2Launch.pdb
classic	1.06	D2MCPClient.dll	3ADE46671	C:\D2\Release\D2MCPClient.pdb
classic	1.06	D2Multi.dll	3ADE477C1	C:\D2\Release\D2Multi.pdb
classic	1.06	D2Net.dll	3ADE45EE1	C:\D2\Release\D2Net.pdb
classic	1.06	D2Sound.dll	3ADE466B1	C:\D2\Release\D2Sound.pdb
classic	1.06	D2Win.dll	3ADE46791	C:\D2\Release\D2Win.pdb
classic	1.06	D2gfx.dll	3ADE46641	C:\D2\Release\D2gfx.pdb
classic	1.06	Fog.dll	3ADE45951	C:\D2\Release\Fog.pdb
classic	1.06	Storm.dll	3AD60C431	C:\D2\Release\Storm.pdb
classic	1.06b	Bnclient.dll	3B02CAFB1	C:\Projects\D2106\Release\Bnclient.pdb
classic	1.06b	D2CMP.dll	3B02C8F61	C:\Projects\D2106\Release\D2CMP.pdb
classic	1.06b	D2Client.dll	3B02CAD31	C:\Projects\D2106\Release\D2Client.pdb
classic	1.06b	D2Common.dll	3B02C9441	C:\Projects\D2106\Release\D2Common.pdb
classic	1.06b	D2DDraw.dll	3B02CAE31	C:\Projects\D2106\Release\D2DDraw.pdb
